mfcc,chroma,spec_contrast,tempo,filename
"[-17.746353149414062, 51.124176025390625, 3.933664560317993, 17.75772476196289, 5.357843399047852, 20.393266677856445, 4.561145782470703, 16.612157821655273, 0.7216802835464478, 2.728076934814453, 0.9341004490852356, 9.4740629196167, -2.4560935497283936]","[0.3738594055175781, 0.5254868268966675, 0.576478898525238, 0.4387264847755432, 0.42140769958496094, 0.386992871761322, 0.43995895981788635, 0.3670887351036072, 0.35518893599510193, 0.3980523645877838, 0.3262461721897125, 0.40220093727111816]","[25.577418728608006, 14.525292216355407, 18.34491155948854, 19.03515791036615, 20.233022922458286, 17.580369952921195, 48.367751309266]",[92.28515625],000705.mp3
"[-8.658197402954102, 53.34418487548828, 19.958158493041992, 27.810562133789062, 0.18891438841819763, 16.223636627197266, -13.59082317352295, 9.752067565917969, 2.06634259223938, 8.481060028076172, 5.0386481285095215, 1.3104361295700073, -3.4800875186920166]","[0.4650938808917999, 0.3654564321041107, 0.30503642559051514, 0.45041096210479736, 0.3901776969432831, 0.40094703435897827, 0.33479222655296326, 0.3992137610912323, 0.42822691798210144, 0.3428810238838196, 0.29067736864089966, 0.30148059129714966]","[24.130013828791615, 15.037474814531022, 19.34338132577133, 18.268638190389492, 18.840592259111446, 18.25756745596747, 49.290690338179]",[172.265625],000706.mp3
"[-69.2037124633789, 58.70227813720703, -18.93347930908203, 72.52438354492188, 16.128755569458008, 9.134873390197754, 7.484806060791016, 10.984635353088379, 3.1742117404937744, -0.536342978477478, -6.340021133422852, 7.686048984527588, -7.0732502937316895]","[0.19169338047504425, 0.344594269990921, 0.4103551506996155, 0.4211196005344391, 0.5157544016838074, 0.5198120474815369, 0.47821906208992004, 0.4363013803958893, 0.4662705361843109, 0.4411996006965637, 0.23552007973194122, 0.214711531996727]","[29.480785056318, 15.521780617356642, 18.96738277731271, 17.65070259501253, 19.835248445828725, 23.441617846263075, 49.11266813798859]",[135.99917763],000707.mp3
"[-56.42606735229492, 82.70416259765625, 25.10198974609375, 44.05788803100586, 6.826147079467773, 1.8762413263320923, 0.12471520900726318, 13.239073753356934, 0.355789452791214, -0.939019501209259, -2.6426479816436768, 7.419505596160889, -0.8875982165336609]","[0.5529395937919617, 0.4922805428504944, 0.4907223582267761, 0.29324615001678467, 0.2784591317176819, 0.2899300754070282, 0.39199599623680115, 0.49230149388313293, 0.45972105860710144, 0.4319128394126892, 0.4432581067085266, 0.5260406136512756]","[24.097311856377935, 14.67594813387724, 17.00181286550723, 16.742564157942645, 21.16262807947645, 18.29253954963051, 47.65596100214666]",[172.265625],000708.mp3
"[-64.81737518310547, 87.45680236816406, 2.827233076095581, 20.07355308532715, -1.0083348751068115, 9.179072380065918, -12.27400016784668, 5.4055094718933105, -1.5522981882095337, 4.345435619354248, 5.624480724334717, 7.611200332641602, -2.203392744064331]","[0.3662945628166199, 0.32103949785232544, 0.41609901189804077, 0.45721369981765747, 0.2858048379421234, 0.28522810339927673, 0.3412087857723236, 0.5156236886978149, 0.33803340792655945, 0.22404727339744568, 0.2269393652677536, 0.26444876194000244]","[24.21870883329811, 15.245869798512912, 21.225372569474718, 20.776084953207658, 19.81209915168408, 18.063793516403077, 47.854787431188306]",[92.28515625],000709.mp3
"[-116.93730926513672, 130.13185119628906, 9.132439613342285, 49.30473709106445, 8.336661338806152, -10.22938060760498, 13.756635665893555, -7.70299768447876, 1.4104609489440918, 1.5632920265197754, 9.3556489944458, 3.991382598876953, -6.052060604095459]","[0.17128068208694458, 0.1644722819328308, 0.3547186553478241, 0.5585411787033081, 0.6098761558532715, 0.14531652629375458, 0.08483211696147919, 0.061569709330797195, 0.1455436795949936, 0.3009491562843323, 0.7052175998687744, 0.528587281703949]","[31.87970027774938, 16.116235666950942, 19.843741242179203, 22.102663642687236, 22.40488330165194, 23.273921163921177, 52.462071180650085]",[129.19921875],000714.mp3
"[-220.6683349609375, 190.1570281982422, 0.6641578078269958, -2.6288399696350098, -10.610316276550293, -4.036554336547852, -11.515010833740234, 2.1688895225524902, -8.556473731994629, -12.047454833984375, -1.872485637664795, -10.845836639404297, -20.047632217407227]","[0.1763206273317337, 0.04022212699055672, 0.02508324570953846, 0.04100056365132332, 0.06198491156101227, 0.13685691356658936, 0.37559908628463745, 0.1554105281829834, 0.1531812697649002, 0.6748666763305664, 0.3290330767631531, 0.3132321536540985]","[27.48845915033242, 14.222818091754808, 23.23782708890983, 23.51137817026746, 19.151158009044767, 18.967624074162966, 49.014599210812825]",[135.99917763],000715.mp3
"[-107.41978454589844, 164.8703155517578, -36.171531677246094, 44.51982879638672, -20.20747947692871, -9.757450103759766, 1.0935964584350586, 1.6688133478164673, -7.705718040466309, -19.718826293945312, -19.497867584228516, 3.592984199523926, -0.7596290707588196]","[0.7420398592948914, 0.27251332998275757, 0.31370997428894043, 0.45109987258911133, 0.19684648513793945, 0.11555600166320801, 0.15495766699314117, 0.4259305000305176, 0.26742178201675415, 0.22643426060676575, 0.2904457151889801, 0.2966143488883972]","[29.540251153884554, 15.319586819880133, 19.85266590230924, 21.21481239522879, 21.497755900324385, 24.94124210444535, 47.2228299469175]",[135.99917763],000716.mp3
"[-89.7886962890625, 47.00892639160156, -4.948978424072266, 9.084175109863281, -31.993255615234375, -15.8801851272583, -13.834555625915527, 4.355370044708252, -17.629016876220703, -18.884233474731445, -10.328784942626953, -0.7399682402610779, -14.191786766052246]","[0.2263064831495285, 0.20859378576278687, 0.18363483250141144, 0.1542445719242096, 0.13938547670841217, 0.16644859313964844, 0.3624054491519928, 0.3813464641571045, 0.3508763313293457, 0.40577268600463867, 0.4945262372493744, 0.3827132284641266]","[26.809238845622396, 20.657784400044008, 22.604887883115683, 21.76841870106027, 16.558839936706814, 14.723220882629914, 52.39423710103296]",[107.66601562],000718.mp3
"[-171.2299346923828, 82.297119140625, 11.351791381835938, 29.360794067382812, 1.919995665550232, 29.06236457824707, -0.5356723070144653, 7.788938999176025, -0.21257121860980988, 4.348020553588867, 1.5552889108657837, 4.068566799163818, 2.187204599380493]","[0.29368454217910767, 0.3114711046218872, 0.4407537877559662, 0.4278346598148346, 0.402265727519989, 0.4771357476711273, 0.47619926929473877, 0.5389379262924194, 0.49121391773223877, 0.4606286883354187, 0.387570321559906, 0.3153376579284668]","[22.13404469633733, 14.1291802253454, 16.224153355616927, 17.677880736641388, 16.41416236950336, 15.671863346977341, 46.71399573948233]",[83.35433468],000777.mp3
