mfcc,chroma,spec_contrast,tempo,filename
"[-296.2906188964844, 126.96947479248047, -11.064434051513672, 17.68692970275879, -0.5898451209068298, -4.799647331237793, -7.695918560028076, -6.302616596221924, -10.07353687286377, -7.506361484527588, -7.795641899108887, -7.61733865737915, -5.711172103881836]","[0.4766988456249237, 0.2934270203113556, 0.38050317764282227, 0.2688731551170349, 0.3676465153694153, 0.3350427746772766, 0.14264097809791565, 0.128915935754776, 0.13658204674720764, 0.27133041620254517, 0.14494679868221283, 0.338481605052948]","[23.3459998091903, 19.390330482838625, 23.738832115738457, 25.511610832232236, 25.549637063799214, 25.0545418266758, 51.092258704567776]",[117.45383523],000197.mp3
"[-122.23910522460938, 102.79864501953125, -30.519062042236328, 40.598384857177734, -10.096220970153809, 1.3887020349502563, -12.195565223693848, -3.105085611343384, -10.733682632446289, -6.6995954513549805, -16.562448501586914, -8.268117904663086, -7.177764415740967]","[0.36833274364471436, 0.3621962070465088, 0.4416942298412323, 0.37883245944976807, 0.47510331869125366, 0.31577959656715393, 0.28663894534111023, 0.38479119539260864, 0.25556159019470215, 0.3182603120803833, 0.2628338932991028, 0.41463503241539]","[28.480133661231267, 18.250715988828297, 22.694255046860476, 22.14887385753928, 22.10668902470508, 23.45695259653125, 52.943930886441066]",[99.38401442],000200.mp3
"[-267.04864501953125, 123.4970703125, 2.189521312713623, 12.940072059631348, -19.17814064025879, -17.803224563598633, -21.062416076660156, -14.292016983032227, -23.150373458862305, -13.284433364868164, -18.255935668945312, -13.553189277648926, -2.6895456314086914]","[0.1568382978439331, 0.26374194025993347, 0.18609949946403503, 0.16626089811325073, 0.20860551297664642, 0.11487310379743576, 0.21674789488315582, 0.05823955312371254, 0.10584665089845657, 0.41924047470092773, 0.1607128232717514, 0.21548281610012054]","[18.369193006231395, 20.642345559610927, 25.787979161593, 25.41453290684931, 24.183904962047393, 22.307365881351128, 49.553640088879845]",[123.046875],000203.mp3
"[-163.85044860839844, 121.3211669921875, -15.035816192626953, 17.012907028198242, 7.450286865234375, 0.21132990717887878, -14.12711238861084, -9.380688667297363, -15.681947708129883, -5.37932825088501, -15.067232131958008, -2.6740524768829346, -12.930340766906738]","[0.14743579924106598, 0.2731713652610779, 0.361361563205719, 0.18404312431812286, 0.1554555594921112, 0.1952437311410904, 0.4881356358528137, 0.37040138244628906, 0.2333667129278183, 0.34539487957954407, 0.20235028862953186, 0.24515607953071594]","[18.163443211057075, 19.81356535452866, 23.64817852683684, 22.45799559737701, 23.207500849429252, 21.134962646484386, 47.511828621556596]",[107.66601562],000204.mp3
"[-371.1177978515625, 101.04061889648438, 1.8138729333877563, 10.012371063232422, -7.317915916442871, -8.986126899719238, -9.462764739990234, -5.686403751373291, -7.516030311584473, -3.408648729324341, -2.3502349853515625, -4.050117492675781, -4.095438480377197]","[0.2661476731300354, 0.17975027859210968, 0.20992615818977356, 0.15383978188037872, 0.2474968433380127, 0.20092539489269257, 0.14822222292423248, 0.2169945240020752, 0.11790081113576889, 0.16800297796726227, 0.18821357190608978, 0.40279802680015564]","[21.444402997340305, 18.928439271088216, 25.74616308638699, 27.48328218134679, 26.490838543921015, 24.660236651106768, 50.4667750300563]",[123.046875],000207.mp3
"[-104.01417541503906, 109.03042602539062, -30.943069458007812, 18.303733825683594, -5.62553071975708, -0.9494074583053589, -13.324254989624023, -0.6012822389602661, -17.136951446533203, -6.014092922210693, -15.05673885345459, -1.763321876525879, -10.486442565917969]","[0.23188649117946625, 0.5180950164794922, 0.46863383054733276, 0.24348679184913635, 0.341322124004364, 0.2392423450946808, 0.41686439514160156, 0.28249719738960266, 0.2824542224407196, 0.3985995948314667, 0.1965479999780655, 0.23403434455394745]","[28.63837633312636, 19.27106141010683, 23.157185823645868, 22.545725121255778, 22.005512480535987, 21.852245770579657, 50.94825134671247]",[95.703125],000210.mp3
"[-129.2234344482422, 126.0466079711914, -34.68517303466797, 22.836715698242188, -13.058366775512695, -5.24688196182251, -15.887996673583984, -10.43881893157959, -21.00801658630371, -11.184243202209473, -14.309571266174316, -7.139994144439697, -8.396193504333496]","[0.23096291720867157, 0.2942748963832855, 0.5319549441337585, 0.2327524572610855, 0.24237006902694702, 0.28370779752731323, 0.49762895703315735, 0.3310443162918091, 0.20313116908073425, 0.2582171559333801, 0.1442411094903946, 0.3083415925502777]","[25.28181024675578, 19.74507961273934, 23.573043753788365, 23.582399687949188, 22.562145752764582, 22.677891496999894, 50.26530869326368]",[99.38401442],000211.mp3
"[-110.08956146240234, 102.70382690429688, 11.4407320022583, 15.548410415649414, 12.660968780517578, 2.7369697093963623, -0.521577775478363, 1.5250211954116821, -9.223904609680176, -0.8064419627189636, -4.044992446899414, 2.237441301345825, -1.9679805040359497]","[0.2700739800930023, 0.32688286900520325, 0.53731769323349, 0.26020294427871704, 0.2690960168838501, 0.3042873442173004, 0.5008286833763123, 0.393687903881073, 0.26781201362609863, 0.31207719445228577, 0.1982097327709198, 0.35618939995765686]","[17.97222133072753, 16.11321860969059, 21.087568860626778, 21.1852488242756, 20.680410572623284, 19.838962448845365, 48.68829924067826]",[99.38401442],000212.mp3
"[-263.86492919921875, 160.1286163330078, 0.7556218504905701, 14.809480667114258, 12.257747650146484, -9.200400352478027, -10.542598724365234, 0.7170181274414062, -7.993382453918457, -9.541598320007324, -11.443537712097168, -5.594189167022705, -4.268339157104492]","[0.11915521323680878, 0.18044182658195496, 0.31837213039398193, 0.09716035425662994, 0.07231331616640091, 0.22774985432624817, 0.6797968745231628, 0.19361165165901184, 0.2837732434272766, 0.6575718522071838, 0.2634710371494293, 0.28905925154685974]","[26.62244916074545, 18.439371598763422, 22.288007813533827, 26.120059059560003, 25.489279580552783, 23.128030514744097, 47.77973594369957]",[143.5546875],000213.mp3
"[-136.94378662109375, 163.62388610839844, -20.820158004760742, 17.844911575317383, -10.696928024291992, 12.296597480773926, -9.265617370605469, -0.5809152126312256, -7.889366149902344, -1.8518943786621094, -2.674523115158081, -2.8914828300476074, -4.569880485534668]","[0.26559725403785706, 0.4362286627292633, 0.5227705836296082, 0.33719632029533386, 0.34737545251846313, 0.2789754569530487, 0.35300707817077637, 0.277028352022171, 0.36450085043907166, 0.6801043152809143, 0.42109984159469604, 0.3768745958805084]","[26.1313159560725, 14.431875845764484, 18.364649064774827, 18.790874332424423, 18.722244411768177, 17.717452935355276, 49.82744842409324]",[123.046875],000255.mp3
