filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,danceability,energy,valence
'39.mp3,0.43316317,0.1365982,2540.8146885502865,2674.791616255851,5645.023447094222,0.0995168823821613,103.359375,-124.22594,67.77875,7.1882443,33.78122,8.210429,14.05097,7.280656,12.041708,-2.2327454,10.712635,-3.4615324,4.085119,-0.44110647,0.2543790403535161,0.803265175084023,0.5884304208870099
(Anesthesia) Pulling Teeth_1_1.mp3,0.40255138,0.1348587,2283.552735742266,1965.4158950028036,4499.696388025813,0.1064648739813803,99.38401442307692,-82.5452,99.87023,-55.36335,46.539333,-5.4853992,9.220095,-5.440949,-5.461921,-2.7159727,-4.021934,-10.775267,0.26787364,-13.197993,0.22974008413461533,0.7826842188593812,0.474032260449577
(Anesthesia) Pulling Teeth_2.mp3,0.34401476,0.11206017,1847.6071599770669,1626.6668511535838,3631.9613713598105,0.0621880845265737,151.99908088235293,-150.56818,119.547646,-72.18797,54.17774,-11.839969,12.336918,-6.3401976,-3.663104,-2.2706459,-2.7265987,-9.692971,2.555025,-13.636123,0.6500970515673375,0.7478085727981654,0.38809407239190463
(Part I).mp3,0.27609882,0.06483583,1111.502616334011,1777.1924672163136,2059.3518240741582,0.0476726256618575,123.046875,-278.43222,144.61665,26.198994,29.062305,4.262476,13.1890135,3.7531002,3.7058065,-0.083609186,5.4502697,-3.3992493,-3.069901,-4.7267494,0.5247555605144274,0.47793518930672085,0.33329932003544027
(Part II).mp3,0.32506427,0.12658696,1716.128062738508,2060.9225233280467,3520.3853874501,0.0810475188483805,135.99917763157896,-155.50914,113.35725,-2.7332902,26.870712,9.367507,11.145835,-0.614041,3.1260955,-2.7128155,3.2236524,-1.6501435,-0.37443143,-5.726929,0.5001859796390691,0.7372902450190806,0.4292281216898567
(Part III).mp3,0.30151567,0.11975051,1344.0477595816994,1580.7954634665807,2636.0546925809704,0.0706724867488293,135.99917763157896,-182.75377,139.25597,-10.583703,32.26707,17.587053,8.627957,-3.1210275,-0.08652179,-1.2701178,1.4986645,-1.30363,-5.6038556,-7.6994166,0.5313110759377226,0.707523820766536,0.3320042088914925
(Part IV).mp3,0.35525098,0.15725727,1727.0669454029469,2024.8164207449129,3343.266964402585,0.0834471595757058,135.99917763157896,-99.804184,123.190865,-13.159963,19.580162,9.246719,6.8077574,-3.333293,4.0193653,-5.541712,2.7706547,-0.913546,-1.2843956,-5.988899,0.49298705745709315,0.7381653556322357,0.4258087471334088
(Part IX).mp3,0.2579997,0.109187946,1420.16875192084,1928.5038161372472,2820.732901576228,0.0556509696093393,86.1328125,-197.31451,136.05344,1.6307997,10.725105,11.247481,2.3358688,-2.8426626,-0.47407073,-3.463722,-2.3778737,-4.515974,-2.1613872,-7.5943384,0.2854884974219821,0.7136135001536672,0.3830798522092399
(Part V).mp3,0.3891248,0.14609952,1850.474744583327,1972.3871720245836,3587.441536398495,0.1024931963752297,135.99917763157896,-135.14882,103.60764,-23.607252,29.772196,11.267137,4.861212,-2.9222796,2.3455157,-5.3093653,-5.0594864,-7.3794074,-2.3563728,-7.735824,0.44332853618421053,0.7480379795666662,0.4315958709614056
(Part VI).mp3,0.3458221,0.117633514,1613.640255583849,1776.4215011681822,2970.2922562510807,0.0886205705754379,135.99917763157896,-156.3032,125.70608,-24.690262,16.333239,9.19396,8.878372,-3.1309638,6.2018275,-6.1174903,-1.4927881,-2.575261,-4.4497623,-5.930809,0.47746682445789684,0.7290912204467079,0.3834167132044076
(Part VII).mp3,0.36427927,0.13937406,1676.1754385893878,1907.3967632498088,3117.4016100631475,0.0864461895509499,135.99917763157896,-108.02925,127.26916,-22.001833,20.486187,6.052983,4.0799484,-1.1436809,6.157553,-6.309322,1.784533,-1.9272041,-1.607248,-5.5748396,0.4839899675313608,0.734094035087151,0.40604213926516486
(Part VIII).mp3,0.37526372,0.095318764,1747.652748053698,2102.08125685316,3533.276405309653,0.0850750498129473,161.4990234375,-164.10768,118.84195,-8.588599,21.432392,10.850386,6.1652813,-1.5729284,4.0238695,-2.509889,2.0631008,-3.7429836,-1.9460446,-5.6736784,0.636852487279908,0.7117248038442958,0.4375254319120148
(Welcome Home) Sanitarium_1.mp3,0.47475585,0.10750971,1733.7126567090004,2235.522984008055,3963.4730545194006,0.0540122338768893,107.666015625,-156.91826,103.44449,0.22202536,52.146557,8.567854,10.841905,5.536122,18.6672,2.1497219,6.901231,3.7102592,0.055555914,0.31303528,0.4160150561818321,0.73869701253672,0.4528116386719069
...And Justice For All_1.mp3,0.48568514,0.10871914,3069.672971231488,2535.2709483512326,5911.727736100826,0.1596399143928062,172.265625,-110.72385,42.410988,-11.368013,56.79614,18.347862,10.701737,-0.12286311,15.447383,-2.2073338,1.2602398,1.6513686,1.9636487,-6.766766,0.6548828124999999,0.845573837698519,0.6238761656670528
1 - 01 - Astronomy Domine.mp3,0.35250014,0.11592327,1851.229650729438,1929.183060281191,3713.341108875296,0.0976927396403871,123.046875,-132.77934,123.37952,-27.53115,28.111721,1.7703084,7.8544273,-5.983865,5.8467183,-0.5191932,3.40077,1.0079138,5.9176373,-6.6776714,0.37469521857883864,0.748098372058355,0.42627084760809264
